Year,GMST,Land,Ocean
1850,-0.052,-0.132,-0.031
1851,0.043,0.111,0.036
1852,0.088,0.100,0.090
1853,0.053,0.011,0.072
1854,0.051,0.188,0.003
1855,0.063,0.091,0.048
1856,-0.022,0.023,-0.044
1857,-0.132,-0.118,-0.134
1858,-0.029,0.026,-0.050
1859,0.058,0.176,0.017
1860,-0.062,-0.189,0.004
1861,-0.117,-0.225,-0.060
1862,-0.182,-0.408,-0.077
1863,-0.029,0.007,-0.028
1864,-0.052,-0.131,-0.012
1865,0.041,0.063,0.052
1866,0.033,0.057,0.041
1867,0.033,0.035,0.031
1868,0.053,0.013,0.081
1869,0.056,0.161,0.023
1870,0.021,-0.003,0.040
1871,-0.002,-0.070,0.028
1872,0.026,-0.005,0.047
1873,0.011,0.078,-0.011
1874,-0.042,0.080,-0.092
1875,-0.014,-0.236,0.067
1876,-0.044,-0.071,-0.040
1877,0.301,0.346,0.279
1878,0.363,0.602,0.264
1879,0.073,0.039,0.093
1880,0.031,-0.052,0.055
1881,0.131,0.153,0.110
1882,0.051,-0.037,0.086
1883,0.011,-0.121,0.059
1884,-0.129,-0.254,-0.078
1885,-0.119,-0.165,-0.105
1886,-0.114,-0.117,-0.121
1887,-0.167,-0.217,-0.167
1888,0.008,0.006,-0.003
1889,0.126,0.188,0.092
1890,-0.157,-0.184,-0.147
1891,-0.044,-0.128,-0.021
1892,-0.119,-0.139,-0.122
1893,-0.122,-0.140,-0.119
1894,-0.124,-0.075,-0.160
1895,-0.057,-0.032,-0.067
1896,0.081,0.065,0.076
1897,0.083,0.159,0.054
1898,-0.117,-0.005,-0.162
1899,0.026,0.183,-0.047
1900,0.123,0.293,0.051
1901,0.078,0.348,-0.041
1902,-0.069,0.133,-0.160
1903,-0.182,0.017,-0.267
1904,-0.242,-0.097,-0.307
1905,-0.062,0.072,-0.115
1906,0.036,0.264,-0.066
1907,-0.142,-0.177,-0.142
1908,-0.177,-0.009,-0.258
1909,-0.212,0.027,-0.321
1910,-0.182,0.061,-0.281
1911,-0.202,-0.016,-0.281
1912,-0.124,0.001,-0.177
1913,-0.109,0.113,-0.201
1914,0.091,0.403,-0.045
1915,0.143,0.419,0.021
1916,-0.074,0.055,-0.138
1917,-0.197,-0.173,-0.219
1918,-0.057,-0.045,-0.072
1919,0.013,0.190,-0.068
1920,0.046,0.166,-0.008
1921,0.086,0.338,-0.025
1922,0.001,0.178,-0.075
1923,0.021,0.187,-0.051
1924,0.021,0.232,-0.072
1925,0.058,0.262,-0.027
1926,0.196,0.456,0.085
1927,0.093,0.262,0.018
1928,0.096,0.372,-0.018
1929,-0.069,-0.026,-0.093
1930,0.148,0.350,0.065
1931,0.211,0.428,0.115
1932,0.161,0.414,0.053
1933,-0.002,0.072,-0.044
1934,0.143,0.343,0.052
1935,0.103,0.270,0.027
1936,0.151,0.297,0.080
1937,0.298,0.402,0.243
1938,0.291,0.579,0.166
1939,0.283,0.510,0.175
1940,0.383,0.484,0.330
1941,0.363,0.500,0.301
1942,0.321,0.443,0.262
1943,0.363,0.463,0.311
1944,0.486,0.591,0.434
1945,0.366,0.327,0.371
1946,0.208,0.394,0.123
1947,0.261,0.486,0.153
1948,0.188,0.455,0.072
1949,0.178,0.318,0.114
1950,0.108,0.097,0.104
1951,0.256,0.335,0.216
1952,0.336,0.379,0.307
1953,0.396,0.594,0.309
1954,0.196,0.286,0.151
1955,0.148,0.317,0.063
1956,0.086,0.008,0.105
1957,0.308,0.381,0.264
1958,0.321,0.491,0.247
1959,0.301,0.457,0.230
1960,0.241,0.311,0.209
1961,0.318,0.521,0.224
1962,0.276,0.497,0.183
1963,0.306,0.583,0.187
1964,0.048,0.150,0.004
1965,0.156,0.280,0.097
1966,0.208,0.345,0.144
1967,0.243,0.434,0.156
1968,0.178,0.263,0.135
1969,0.323,0.321,0.318
1970,0.276,0.446,0.198
1971,0.158,0.354,0.067
1972,0.271,0.240,0.269
1973,0.408,0.706,0.279
1974,0.183,0.211,0.159
1975,0.243,0.504,0.128
1976,0.148,0.116,0.154
1977,0.461,0.618,0.388
1978,0.353,0.452,0.302
1979,0.431,0.490,0.404
1980,0.551,0.750,0.453
1981,0.598,0.930,0.453
1982,0.396,0.433,0.372
1983,0.576,0.826,0.467
1984,0.403,0.453,0.372
1985,0.398,0.452,0.366
1986,0.448,0.631,0.364
1987,0.583,0.783,0.499
1988,0.631,0.973,0.486
1989,0.521,0.706,0.434
1990,0.701,1.006,0.569
1991,0.683,0.958,0.556
1992,0.481,0.604,0.423
1993,0.528,0.659,0.467
1994,0.583,0.827,0.482
1995,0.736,1.128,0.570
1996,0.621,0.801,0.536
1997,0.761,0.989,0.668
1998,0.913,1.325,0.743
1999,0.666,1.078,0.499
2000,0.671,0.978,0.540
2001,0.818,1.212,0.649
2002,0.893,1.347,0.702
2003,0.886,1.312,0.713
2004,0.811,1.145,0.673
2005,0.958,1.486,0.734
2006,0.911,1.353,0.729
2007,0.923,1.539,0.662
2008,0.806,1.248,0.617
2009,0.936,1.333,0.765
2010,1.008,1.535,0.786
2011,0.886,1.332,0.690
2012,0.916,1.321,0.743
2013,0.943,1.419,0.746
2014,1.013,1.384,0.855
2015,1.161,1.670,0.948
2016,1.273,1.837,1.043
2017,1.181,1.712,0.960
2018,1.108,1.531,0.923
2019,1.236,1.728,1.026
2020,1.266,1.883,1.008
2021,1.108,1.637,0.893
2022,1.148,1.614,0.954
2023,1.438,2.041,1.191
2024,1.523,2.197,1.246
