variable,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Tot,Tot,Tot,Tot,Tot,Ant,Ant,Ant,Ant,Ant
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,
1850,0.017,0.021,0.03,0.033,0.025,-0.17,-0.147,-0.079,-0.053,-0.113,0.018,0.052,0.146,0.183,0.1,-0.051,-0.023,0.048,0.078,0.013,-0.076,-0.048,0.023,0.052,-0.012
1851,0.023,0.027,0.039,0.044,0.033,-0.162,-0.14,-0.077,-0.052,-0.108,0.018,0.051,0.14,0.175,0.096,-0.039,-0.013,0.055,0.083,0.021,-0.073,-0.046,0.021,0.049,-0.012
1852,0.027,0.032,0.046,0.052,0.039,-0.155,-0.134,-0.074,-0.051,-0.104,0.018,0.049,0.134,0.167,0.092,-0.031,-0.006,0.06,0.086,0.027,-0.069,-0.044,0.02,0.047,-0.012
1853,0.019,0.022,0.032,0.036,0.027,-0.147,-0.128,-0.071,-0.05,-0.1,0.018,0.048,0.127,0.158,0.089,-0.039,-0.014,0.046,0.072,0.016,-0.065,-0.042,0.018,0.044,-0.011
1854,0.01,0.012,0.017,0.019,0.014,-0.14,-0.122,-0.068,-0.049,-0.095,0.018,0.046,0.121,0.151,0.085,-0.048,-0.026,0.031,0.057,0.003,-0.062,-0.039,0.017,0.041,-0.011
1855,0.011,0.013,0.018,0.021,0.015,-0.132,-0.116,-0.066,-0.048,-0.091,0.019,0.045,0.115,0.143,0.081,-0.043,-0.022,0.032,0.055,0.005,-0.059,-0.037,0.015,0.039,-0.01
1856,0.012,0.014,0.02,0.023,0.017,-0.125,-0.11,-0.063,-0.047,-0.087,0.019,0.043,0.109,0.135,0.077,-0.038,-0.018,0.032,0.054,0.007,-0.055,-0.035,0.014,0.037,-0.01
1857,0.002,0.003,0.004,0.005,0.003,-0.117,-0.104,-0.061,-0.045,-0.082,0.019,0.041,0.103,0.127,0.073,-0.049,-0.03,0.017,0.037,-0.006,-0.052,-0.033,0.013,0.034,-0.01
1858,0.005,0.006,0.008,0.009,0.007,-0.11,-0.097,-0.058,-0.044,-0.078,0.019,0.04,0.096,0.119,0.069,-0.042,-0.024,0.02,0.039,-0.002,-0.049,-0.031,0.012,0.031,-0.009
1859,0.012,0.014,0.021,0.023,0.017,-0.102,-0.091,-0.055,-0.042,-0.073,0.018,0.038,0.09,0.111,0.065,-0.028,-0.012,0.029,0.046,0.009,-0.045,-0.029,0.011,0.029,-0.009
1860,0.02,0.024,0.034,0.038,0.029,-0.095,-0.085,-0.052,-0.041,-0.069,0.018,0.036,0.084,0.103,0.06,-0.013,0.001,0.04,0.055,0.02,-0.041,-0.027,0.01,0.026,-0.008
1861,0.022,0.026,0.037,0.042,0.031,-0.088,-0.079,-0.049,-0.039,-0.064,0.017,0.034,0.078,0.095,0.056,-0.007,0.005,0.042,0.056,0.023,-0.038,-0.025,0.009,0.023,-0.008
1862,-0.05,-0.045,-0.031,-0.026,-0.038,-0.08,-0.072,-0.046,-0.038,-0.06,0.017,0.032,0.072,0.087,0.052,-0.074,-0.062,-0.029,-0.016,-0.045,-0.034,-0.023,0.008,0.021,-0.008
1863,-0.076,-0.067,-0.047,-0.039,-0.057,-0.073,-0.066,-0.043,-0.036,-0.055,0.016,0.03,0.066,0.079,0.048,-0.094,-0.082,-0.047,-0.034,-0.064,-0.031,-0.021,0.007,0.019,-0.007
1864,-0.058,-0.052,-0.036,-0.03,-0.044,-0.066,-0.06,-0.04,-0.034,-0.051,0.015,0.027,0.06,0.072,0.044,-0.076,-0.066,-0.036,-0.024,-0.05,-0.028,-0.019,0.006,0.016,-0.007
1865,-0.033,-0.029,-0.02,-0.017,-0.024,-0.06,-0.054,-0.038,-0.032,-0.046,0.015,0.025,0.054,0.065,0.04,-0.051,-0.043,-0.018,-0.01,-0.031,-0.025,-0.017,0.005,0.014,-0.006
1866,-0.009,-0.008,-0.006,-0.005,-0.007,-0.053,-0.048,-0.034,-0.03,-0.042,0.014,0.023,0.047,0.057,0.036,-0.03,-0.023,-0.002,0.005,-0.013,-0.022,-0.016,0.004,0.012,-0.006
1867,0.005,0.006,0.008,0.009,0.007,-0.046,-0.042,-0.031,-0.027,-0.037,0.013,0.021,0.042,0.049,0.032,-0.013,-0.007,0.011,0.018,0.001,-0.02,-0.014,0.003,0.011,-0.005
1868,0.013,0.015,0.022,0.025,0.019,-0.04,-0.037,-0.027,-0.024,-0.032,0.012,0.018,0.036,0.042,0.027,0,0.005,0.023,0.029,0.014,-0.017,-0.012,0.003,0.009,-0.005
1869,0.02,0.024,0.035,0.039,0.03,-0.035,-0.032,-0.023,-0.02,-0.028,0.011,0.016,0.03,0.035,0.023,0.01,0.016,0.034,0.041,0.025,-0.015,-0.011,0.003,0.007,-0.004
1870,0.026,0.031,0.045,0.051,0.038,-0.03,-0.027,-0.019,-0.015,-0.023,0.008,0.013,0.025,0.029,0.019,0.018,0.025,0.044,0.052,0.034,-0.013,-0.009,0.002,0.007,-0.004
1871,0.032,0.038,0.055,0.061,0.046,-0.027,-0.023,-0.013,-0.01,-0.018,0.006,0.01,0.02,0.024,0.015,0.025,0.032,0.053,0.061,0.043,-0.012,-0.008,0.002,0.006,-0.003
1872,0.036,0.042,0.061,0.068,0.051,-0.023,-0.019,-0.008,-0.004,-0.014,0.002,0.006,0.016,0.02,0.011,0.03,0.037,0.06,0.068,0.048,-0.011,-0.007,0.002,0.006,-0.003
1873,0.024,0.029,0.042,0.047,0.035,-0.02,-0.015,-0.002,0.002,-0.009,-0.003,0.001,0.012,0.017,0.007,0.019,0.024,0.042,0.048,0.033,-0.011,-0.007,0.003,0.006,-0.002
1874,0.023,0.028,0.04,0.045,0.033,-0.017,-0.011,0.003,0.008,-0.004,-0.009,-0.004,0.009,0.014,0.003,0.018,0.023,0.04,0.046,0.032,-0.011,-0.007,0.004,0.007,-0.002
1875,0.022,0.027,0.038,0.043,0.032,-0.014,-0.007,0.008,0.015,0,-0.016,-0.009,0.006,0.011,-0.001,0.016,0.022,0.04,0.046,0.031,-0.011,-0.007,0.005,0.009,-0.001
1876,0.022,0.026,0.038,0.042,0.032,-0.011,-0.004,0.014,0.021,0.005,-0.021,-0.014,0.003,0.009,-0.006,0.016,0.022,0.041,0.047,0.031,-0.012,-0.007,0.006,0.012,-0.001
1877,0.024,0.029,0.041,0.047,0.035,-0.007,0,0.019,0.026,0.009,-0.028,-0.019,0.001,0.007,-0.01,0.018,0.025,0.045,0.052,0.035,-0.013,-0.007,0.007,0.014,0
1878,0.026,0.031,0.045,0.051,0.038,-0.004,0.004,0.025,0.032,0.014,-0.035,-0.025,-0.002,0.005,-0.014,0.019,0.028,0.05,0.058,0.039,-0.015,-0.008,0.009,0.016,0
1879,0.029,0.034,0.049,0.055,0.041,-0.001,0.008,0.03,0.038,0.019,-0.041,-0.03,-0.004,0.003,-0.018,0.022,0.03,0.055,0.063,0.042,-0.016,-0.008,0.01,0.018,0.001
1880,0.029,0.034,0.049,0.055,0.041,0.003,0.012,0.035,0.043,0.023,-0.048,-0.035,-0.007,0.001,-0.022,0.021,0.03,0.057,0.065,0.043,-0.017,-0.008,0.012,0.02,0.002
1881,0.03,0.036,0.051,0.058,0.043,0.006,0.015,0.04,0.049,0.028,-0.053,-0.04,-0.01,0,-0.026,0.022,0.032,0.06,0.068,0.045,-0.018,-0.009,0.013,0.022,0.002
1882,0.033,0.04,0.057,0.064,0.048,0.009,0.02,0.045,0.054,0.032,-0.059,-0.046,-0.013,-0.002,-0.03,0.025,0.036,0.067,0.076,0.051,-0.019,-0.009,0.015,0.024,0.003
1883,0.002,0.002,0.003,0.004,0.003,0.013,0.024,0.05,0.06,0.037,-0.064,-0.05,-0.016,-0.003,-0.034,-0.016,-0.006,0.019,0.03,0.006,-0.02,-0.009,0.016,0.026,0.004
1884,-0.228,-0.203,-0.141,-0.118,-0.17,0.017,0.028,0.056,0.065,0.042,-0.071,-0.055,-0.018,-0.006,-0.037,-0.228,-0.2,-0.133,-0.106,-0.166,-0.021,-0.009,0.018,0.029,0.004
1885,-0.258,-0.23,-0.159,-0.134,-0.193,0.022,0.032,0.06,0.07,0.046,-0.075,-0.06,-0.021,-0.008,-0.041,-0.259,-0.226,-0.151,-0.121,-0.188,-0.021,-0.009,0.019,0.031,0.005
1886,-0.214,-0.19,-0.132,-0.111,-0.16,0.026,0.036,0.065,0.074,0.051,-0.081,-0.065,-0.024,-0.01,-0.045,-0.216,-0.188,-0.122,-0.096,-0.154,-0.022,-0.009,0.021,0.033,0.006
1887,-0.174,-0.155,-0.107,-0.09,-0.13,0.029,0.04,0.07,0.079,0.055,-0.086,-0.07,-0.027,-0.011,-0.049,-0.179,-0.154,-0.095,-0.074,-0.124,-0.024,-0.01,0.023,0.035,0.006
