variable,GHG,GHG,GHG,GHG,GHG,Nat,Nat,Nat,Nat,Nat,OHF,OHF,OHF,OHF,OHF,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,bc_snow,bc_snow,bc_snow,bc_snow,bc_snow,ch4,ch4,ch4,ch4,ch4,co2,co2,co2,co2,co2,contrails,contrails,contrails,contrails,contrails,h2o_strat,h2o_strat,h2o_strat,h2o_strat,h2o_strat,halogen,halogen,halogen,halogen,halogen,land_use,land_use,land_use,land_use,land_use,n2o,n2o,n2o,n2o,n2o,o3,o3,o3,o3,o3,solar,solar,solar,solar,solar,volcanic,volcanic,volcanic,volcanic,volcanic,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot,Res,Res,Res,Res,Res
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-1950 (AR6 rate definition),0.00312650560700526,0.0036848583508621194,0.004979652011033201,0.005505527904539361,0.004333984400286759,2.102436149972668e-05,0.00017752571545086,0.00099309364340518,0.0014398899523145802,0.00051419859469836,-0.0014747860919345,-0.0010310725324081198,0.00038897623762934006,0.0012026269521676599,-0.00041225370584106004,-0.0018185476949720198,-0.0013835357859278599,-0.0004591868463790201,-0.00014832260662853998,-0.00088022988402476,-0.0010474188919319801,-0.0007178913415381201,-0.00018842687458219998,-7.583445430534792e-05,-0.00039494109763336,1.0879136336206132e-06,1.223316241874163e-05,0.00011312842577917412,0.00019868359613144,4.729479127986869e-05,0.00089395440731082,0.00102362458629134,0.0014397015869616998,0.0016179879104548601,0.0012146916579116001,0.0015703806226903397,0.00199068329442626,0.0029162398255232,0.0032654733106945,0.00246140310258572,2.112299288774356e-06,4.290704543734935e-06,1.7649367474862656e-05,2.617570483231578e-05,9.25691384702187e-06,-4.402588967808905e-06,2.3529543475755933e-05,0.00016737564027756,0.00028913138564106,7.852775383400409e-05,0.00014099076100282,0.00017516199648374002,0.00026702567207988,0.0003098577612192,0.00021828508590146002,-0.0004978377992907599,-0.00030174243196164004,1.2857792695814915e-05,0.00012706164315791005,-0.00011995367367155389,0.00031446856429628004,0.00036337562943943995,0.0004888703571124,0.00054203955129236,0.00042308785924401995,0.00025793366879222,0.00045045489594333995,0.001622266454227,0.00241946736203896,0.0008480624019195999,0.00015837726751268002,0.0003630550980034601,0.0012570620093691799,0.0017089014716695798,0.0007506359944289,-0.00053617785645248,-0.00039940198488302,-3.4617507265824246e-05,5.404142061756386e-05,-0.00021731068239060002,0.0032773578284364196,0.00351303230596306,0.00452840355724994,0.0050825877505721,0.00391919259772152,0.00367814967939342,0.00398574408798502,0.005219756040789819,0.005900419619950341,0.004506309312401361,-0.06108982700786802,-0.05114159928050001,-0.0209156584052656,-0.0113786267636513,-0.035795391311809
1942-1951 (AR6 rate definition),0.00293843236565586,0.0034796728334643198,0.00475556069684744,0.0052707509524894,0.004116362929344119,0.00029677440982421994,0.0006574450405257599,0.0020185103529330004,0.00267062570741678,0.0012631465562364798,-0.00142315769105244,-0.00098538977025128,0.00031288239079887997,0.00110904334677434,-0.00039926625562432,-0.0017741703210454602,-0.00134466221757004,-0.0005040669226284401,-0.00024945635246954,-0.0008669473501768399,-0.00109210479485264,-0.0007648187257574801,-0.0002440212970204,-0.00013415991338529664,-0.00043674852303928,-2.6112166586134744e-06,7.075613003337057e-06,9.136722182685691e-05,0.0001629042651391,3.6495758897878894e-05,0.00090242149590536,0.0010328190831071999,0.00145115574562186,0.00163006495616648,0.0012249734907438601,0.0013704605698585,0.0017779594096269998,0.00268342200896952,0.00302058133663548,0.0022280722766211203,2.2442943828660984e-06,4.558595548609667e-06,1.8752093707338316e-05,2.7814782378934037e-05,9.834862646653852e-06,-4.4475969652094665e-06,2.3783792131298207e-05,0.00016912897676224,0.00029211604589536003,7.937000669312315e-05,0.00016041421851979996,0.00019711624039544,0.00029663488979758,0.0003431335955039,0.0002442129836135,-0.0004889736037813601,-0.00029529120800166,2.2896072776479605e-05,0.0001440157972727329,-0.00011520761375623916,0.0002934705602061,0.0003409637578057,0.00046294410551579995,0.0005142653309034,0.00039920844363439996,0.00026848235692484,0.00046853749223726,0.0016855561689896397,0.0025121999392003404,0.0008813853290947598,0.00021289703954969997,0.00048393026368962004,0.0016369265043386801,0.0022022161334381996,0.0009885008239352599,3.939773780152696e-05,0.00010934806545118071,0.00044367457646308,0.00061083857986054,0.00024405410343946,0.0030573847230636196,0.0032980011529994205,0.00431712310783788,0.0048042666966264394,0.00370124228072886,0.00388910159017098,0.00431213889266498,0.00594387564424308,0.0066958497663338595,0.005048508960189201,-0.05373281899778958,-0.04634238618239472,-0.01756066301314324,-0.00967458646427694,-0.03156956740518962
1943-1952 (AR6 rate definition),0.0028485499114701,0.0033655011393806797,0.004609779874122461,0.0051161196683392005,0.0039810965639171594,0.0004664089013116401,0.00102763225072708,0.00277175156767616,0.0035259217940496004,0.00184752034644282,-0.00170410591092972,-0.0012806940324378,-9.436576836032542e-06,0.0007702554829310401,-0.00074045146053484,-0.0019609875904790996,-0.0015260452025767002,-0.0006459765287511,-0.00032941004791940003,-0.00104793556260334,-0.0014045583533517602,-0.00101665355956006,-0.00035732923626444,-0.00020366952350977998,-0.0006020001897757,-4.895214538202619e-06,4.562804972132126e-06,7.562654073717044e-05,0.00013699045303188002,2.886769587569172e-05,0.0009116160668658,0.0010428661148655998,0.0014639591273032599,0.0016437525257016,0.0012363121545675602,0.00128370665013784,0.00165840943473754,0.00252933502883618,0.0028566093092614194,0.002083410142046,2.392699598832485e-06,4.860551564761959e-06,1.9995564449433883e-05,2.9662764819063745e-05,1.048637341062369e-05,-4.497674593673706e-06,2.4060051680091003e-05,0.00017103519403566,0.00029537449212684,8.028465746477439e-05,0.00017992263760016,0.00021883906075922,0.00032562234579071997,0.00037576407948362,0.00026973587640726003,-0.0005143491046672,-0.00031292232085351995,1.710247633357773e-05,0.00014106622558421523,-0.0001259316441913081,0.00026680041149706004,0.00031320130265116,0.00043172134948946,0.00048095035304622,0.00037019101959284,0.00027729171666904,0.00048380102591979996,0.00173981035216282,0.0025920092996322397,0.00090983420158872,0.00020975963973478002,0.00047462311161703996,0.0015958988002127,0.00214439311297782,0.00096602168558586,0.00022194491586446,0.00048583086252662,0.0012323695483984,0.0015312812820528002,0.0008520420572974,0.00248791712522502,0.0027789639536178,0.0039498797671361,0.00449063776433464,0.00322757074327178,0.0036343391402200603,0.00421396092104184,0.0062614557426986794,0.007145779793009579,0.00515222246899746,-0.04272565823415232,-0.036105350885334155,-0.01138901542947538,-0.00436573906839738,-0.023618484933888757
1944-1953 (AR6 rate definition),0.0028882693530934804,0.00337670938968654,0.00457691753777586,0.00507697126540266,0.003963960084048121,0.00048375209663623997,0.00106201432606934,0.00271736636161796,0.0033908906567728402,0.0018642850874950997,-0.0024528004120696,-0.0020081056286891,-0.00057416356946478,0.00014553830993297172,-0.00141164407134052,-0.0026256016601215,-0.0020791058029188797,-0.0008899132803985,-0.00047578702370319997,-0.00147849741307166,-0.0019727668394193,-0.0014462004068674199,-0.00051099212611314,-0.00028062501009268006,-0.0008587000496459201,1.2492417837634173e-06,1.0546171693413558e-05,8.47480737011353e-05,0.00015002842123306,3.5395741349820083e-05,0.00093057288906788,0.00106298383257598,0.00148907460678702,0.0016706067188219,0.00125877419655968,0.0013145357325221,0.00164610325296714,0.0024681858747294,0.0027875823270190397,0.00204390911441858,2.557936009691964e-06,5.196809293005517e-06,2.1379709807683177e-05,3.172021986877855e-05,1.1211739346794218e-05,-4.596353287166546e-06,2.4568335295683073e-05,0.00017451166849806002,0.00030129719452193996,8.196240135777071e-05,0.00019913935414722,0.00024008835776152002,0.00035376630288008,0.00040754630852656,0.00029462519003016,-0.0005726990417548601,-0.0003528009532527,-1.727093527601638e-06,0.00012300120311024227,-0.00015002215732676,0.000245656316479,0.00029060316611868,0.00040590240203518,0.00045354313211453995,0.0003462421973094399,0.00029054706633988,0.00050672818925794,0.0018208250072869001,0.0027112136198715405,0.00095237121663304,0.00013800314360607998,0.00031128847116160003,0.0010800991242204399,0.0014702300142842802,0.0006413557408504999,0.00031240554210358,0.0006858884169070599,0.00169246545203702,0.0020685717323512404,0.00119285614201514,0.00159848150610918,0.00201602283409144,0.0033711998166459597,0.0039848552283012,0.0025597762068112003,0.0028548961290806997,0.00348317800236466,0.005620466784455521,0.00654972037763298,0.0044556095834933805,-0.025715659938794943,-0.021568219454798126,-0.0005542681978642799,0.00460757032064998,-0.010081671440028419
1945-1954 (AR6 rate definition),0.0030417762904455803,0.0035099729433203802,0.004665754571466681,0.005162402723774741,0.00407007351066122,0.00030214198582773994,0.0006530944413985,0.00176881425669694,0.00222421598615064,0.0011865991263678001,-0.0036732864154107197,-0.00304685751741578,-0.00131669574445532,-0.0005717004491381599,-0.0022539454563097,-0.00370080831014744,-0.00289660951901562,-0.0012774946654836,-0.0008012867434457801,-0.0020576607413363797,-0.0026849715976100604,-0.00196955476159392,-0.0006841836118901001,-0.00036361029736382,-0.00116439611397002,2.5568504528509376e-06,2.1433200726680712e-05,0.00012787598954002,0.00021599849686021997,5.954917068734317e-05,0.00096699921809358,0.00110169510972314,0.0015377809369202199,0.00172285242920568,0.0013021447622414402,0.0014219789505004199,0.00172512260314186,0.00249300107648872,0.00280472223867066,0.00209593640132378,2.741521678804778e-06,5.570469585257921e-06,2.2918936213351452e-05,3.400773783108557e-05,1.2018208825876088e-05,-4.773025163696285e-06,2.5514627561311836e-05,0.00018097827714494001,0.00031233822876072006,8.508367492166512e-05,0.00021830233193885997,0.00026148143192874005,0.00038208246939866003,0.00043974015945001996,0.00031957421381248,-0.0006628775849486401,-0.00041205318816228,-2.7887936998300007e-05,9.759931311459905e-05,-0.00018583088943902002,0.00023699523237611996,0.00027993464287028003,0.00039195282484090005,0.0004387025054205,0.00033367296850136,0.00031098872761832003,0.0005420267228600999,0.00194577273879982,0.0028955999003215,0.0010179637033830402,-0.0002314473410581,-3.72458362671417e-05,0.00022813904317211996,0.00037127988844059997,7.667250966540362e-05,0.00029812200051358,0.00065076780578852,0.00160909631143912,0.00197473802485244,0.00112752155372586,0.0005410849470080401,0.0011063681055198601,0.0027020374989870197,0.0034167874040025204,0.0018138541687618,0.00137680189176034,0.00211443532922046,0.00410610138773914,0.0050270738538467,0.00302318871472816,-0.01179574390034412,-0.006800685489951281,0.008635209165147279,0.012475454267625,0.0011657137919047801
1946-1955 (AR6 rate definition),0.00326053628144838,0.0037238215287526007,0.004853299134427781,0.0053506110382802,0.00426882798021486,-0.00020134344967924,9.47473726771356e-05,0.00086248610109988,0.0011862571203347,0.00045156677338206003,-0.00490566807894992,-0.00404545336112828,-0.0019876674652293197,-0.00116802384794656,-0.00304340278560458,-0.0047690310568520005,-0.00369247314026858,-0.0016819814480614802,-0.0011160851039669001,-0.0026157984589085,-0.0033542752081922996,-0.0024602103963042,-0.00084392769636978,-0.00043532557131464,-0.0014503339802225,3.6942568134911837e-06,3.150301164749903e-05,0.00018040011491283998,0.00030162356872898,8.579810799070014e-05,0.0010219923648418002,0.00116098638529124,0.00161438399535232,0.0018056359300107202,0.0013695855935414,0.0015596838588966997,0.0018526188975030197,0.00257878753380336,0.00288363717631856,0.0022050323088963404,2.9426852643637457e-06,5.979941839309917e-06,2.460569932361867e-05,3.6514379932531e-05,1.2901842759068434e-05,-5.044275457321689e-06,2.6961356477642606e-05,0.00019093859757884002,0.000329381025876,8.985880056788864e-05,0.00023783595528744,0.00028367571932907997,0.00041151968365616,0.0004733846200926,0.00034536920875928004,-0.0007803654672972801,-0.00048871530824984,-5.944804258531733e-05,6.800561976814545e-05,-0.00023089091547506002,0.0002376754492182,0.00027922083137158,0.00038843141753560007,0.0004347437763529801,0.00033117989247488,0.00033674322954854,0.0005865938520566601,0.00210426134403902,0.00313014586585936,0.00110105808937186,-0.0013908946699029,-0.0009606283973816599,-0.00024405727410096003,-9.964697812258309e-05,-0.0005277774049427799,0.00028285872337938003,0.00061523897747194,0.0015341062321806598,0.00188826295688292,0.0010670859885937801,-0.00037996202707286,0.00032400189457513996,0.00219087381561594,0.0029861161663676003,0.00121100950421702,-0.00027526944695094,0.0006505054172241,0.0027898921887079403,0.00372617124066204,0.0017089510596159198,-0.00812144729888034,-0.00359391061963904,0.0117758818945332,0.01624029182291332,0.004425631694911899
1947-1956 (AR6 rate definition),0.00351763053102922,0.00398698967333992,0.005117617184465521,0.005622707361524721,0.00453153836004656,-0.0009622530627882398,-0.00045291554214372,0.00033723795278498,0.0006377475022365999,-2.471094789638963e-06,-0.00588394562719444,-0.00483293022964936,-0.0025082703319462604,-0.0016276173402456,-0.0036661455802844806,-0.00564930067459736,-0.00434365431648308,-0.00203888896053482,-0.0013995713401923997,-0.003077057866436,-0.0038861466582977003,-0.0028528880967334603,-0.00097106419143572,-0.00048696457037246003,-0.0016791153213742602,4.812782355160884e-06,4.132790468689623e-05,0.00023471758474000003,0.00039160147173832,0.00011203138214164893,0.00109667073393404,0.00124305682733202,0.0017233874903483401,0.0019244035712697,0.00146431677720758,0.00170018068407516,0.0019916325650431595,0.00269755512837202,0.0029986253380775,0.0023371469703587,3.1639441710060996e-06,6.430392879966264e-06,2.6460913345076593e-05,3.927113103616812e-05,1.3873937022060887e-05,-5.423835250302061e-06,2.8980641759170047e-05,0.0002049086909515,0.0003533694564054,9.6538385630312e-05,0.00025871304255397997,0.00030777306545268,0.00044367275220816,0.00051031166838588,0.00037333260043378,-0.0009154337294625,-0.00057635753484382,-9.57957650224086e-05,4.1188795712174976e-05,-0.00028175559572192,0.00024767137149511997,0.00028898529780628,0.00039684455550524004,0.00044318819712051995,0.00033999197297922,0.00036690278481122,0.00063888756890184,0.00229092986204402,0.003406795592019,0.0011987826273296399,-0.00218858883180916,-0.0015916190636758199,-0.00045281859255117996,-0.00019334160015498,-0.0009322688943542001,0.00025185826319182,0.0005445585233695001,0.0013875035670670001,0.00171851017213224,0.0009512802890755401,-0.0009751266475879001,-0.00016854832840683664,0.00187798777782552,0.0027074306607245803,0.0008455437150868001,-0.00144705645423944,-0.00041300843087104,0.00197676787412522,0.0029220603885072396,0.00082533881519774,-0.016376812185217218,-0.01235790361907102,0.0019405720957638801,0.00625500717629306,-0.0047566068949085605
1948-1957 (AR6 rate definition),0.0038036677647720197,0.0042878480914866806,0.00544675643010568,0.005969157101529961,0.00484462194370498,-0.0014177719485578603,-0.0009104950330473599,-3.2919222895393983e-05,0.0001294029059283102,-0.00037483156178931993,-0.00684338115652398,-0.005569674606756681,-0.0029893000201744804,-0.00205891108896692,-0.00424447314757284,-0.00659851591153574,-0.00501940781997908,-0.00244393172878202,-0.00174671421538698,-0.00355628749637888,-0.0043592058754328205,-0.0032030984756620997,-0.00108063488981934,-0.00053084825526096,-0.0018820445126655602,6.394104114874754e-06,5.517342591827575e-05,0.00031281028902437996,0.0005214812637052399,0.00014928850260642002,0.0011940482035279,0.0013519686833475201,0.0018717290722962202,0.00208761101328958,0.00159171542434978,0.00183379643794258,0.00212680949044948,0.0028296927768172,0.00313181520953318,0.00247250846841114,3.4063167441383307e-06,6.923551284214201e-06,2.8492456503833332e-05,4.2289434937463894e-05,1.4937958057447704e-05,-5.93513601625364e-06,3.1684648055780795e-05,0.00022373442942216003,0.00038577228553136,0.00010550445679458112,0.00028222622846556,0.00033532567202728005,0.0004810099390589,0.00055345850378608,0.00040545605461698,-0.0010541236874731601,-0.0006666675398746401,-0.0001303853989888795,1.3616602557383297e-05,-0.00033297537628441997,0.00026465382748702004,0.00030702035973462,0.0004162545310502,0.00046325337570718,0.00035866741655444,0.00040356010096988,0.0007025312299754799,0.00251880555676686,0.0037449429486736594,0.00131803436261232,-0.0019878320219903,-0.0014576010166642399,-0.0004238737632384,-0.00018178844169923998,-0.0008640567804975,1.3238218627079959e-05,0.00018478621939811997,0.00074933416987906,0.00097441811046812,0.000459941562378,-0.00149363799980188,-0.0005368373504190199,0.00163108222836792,0.0024378665532126,0.0005916377902030601,-0.00232552432652672,-0.0011971386159910602,0.0013408564392364002,0.00222883282466362,0.00014696263002622262,-0.007998132663692481,-0.00457824333647444,0.00786991800801032,0.01149700192455198,0.00141379805620416
