variable,GHG,GHG,GHG,GHG,GHG,Nat,Nat,Nat,Nat,Nat,OHF,OHF,OHF,OHF,OHF,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,bc_snow,bc_snow,bc_snow,bc_snow,bc_snow,ch4,ch4,ch4,ch4,ch4,co2,co2,co2,co2,co2,contrails,contrails,contrails,contrails,contrails,h2o_strat,h2o_strat,h2o_strat,h2o_strat,h2o_strat,halogen,halogen,halogen,halogen,halogen,land_use,land_use,land_use,land_use,land_use,n2o,n2o,n2o,n2o,n2o,o3,o3,o3,o3,o3,solar,solar,solar,solar,solar,volcanic,volcanic,volcanic,volcanic,volcanic,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot,Res,Res,Res,Res,Res
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,-0.06655252044670174,-0.061180120377854405,-0.049222763838111375,-0.04250293179137463,-0.055073669520446865,0.0008284654984086374,0.005089299753483393,0.03954573385655795,0.051843901491568964,0.020570862757351843,0.012979168895871753,0.019187218096596882,0.06060107544851755,0.08495592683591245,0.03229808056212094,0.010814690169455386,0.015434798695123177,0.05493584650329958,0.07896517281467108,0.026796379908067037,-0.003960027197099052,0.00014031011701359179,0.00775677888153839,0.011741096985798253,0.0037389825948738547,-0.009300506636070568,-0.005287591060190147,-0.0009376916966151717,-4.775722085017771e-05,-0.00237594257722222,-0.017813584177721185,-0.015923644676934495,-0.011388947055351824,-0.009864020636579617,-0.013565708380069687,-0.043939668605535206,-0.04048391936276826,-0.032434099574088306,-0.02767951317303407,-0.036459540107589665,0.0,0.0,0.0,0.0,0.0,-0.002531860847536682,-0.0016098878590674697,-0.0002871979054494879,-3.0952138929785554e-05,-0.0007263551451586338,-7.918925013283753e-08,-7.024652498590655e-08,-4.768510672955199e-08,-4.009108085753099e-08,-5.825632614867985e-08,0.0032224915510239032,0.005756032791610839,0.020434460848766264,0.03295354195518363,0.011080909263813462,-0.00631936688283789,-0.005713808773447963,-0.004278732845994829,-0.003680755422761476,-0.004980492659459102,-0.019444980986557846,-0.01203767769331898,-0.0035200716189459453,-0.0022797258115104576,-0.0065022632027367175,0.0003531748325434875,0.0016687685700529024,0.007152644451676836,0.009932864255594278,0.004002998085217968,-0.0013306186395252992,0.0018305195252692797,0.033471556300757405,0.04402978445088014,0.016383704853963794,-0.039088488030368324,-0.03390775260189419,0.0029076578985493375,0.02603495844075403,-0.021654971145070277,-0.03245241469954585,-0.020383179067796867,0.032976473446223245,0.05733809126927404,0.003332570281144033,-0.20106688216415283,-0.14291803764203181,-0.004937692116935119,0.0408305512642261,-0.07463747387323648
1851,-0.06521370179009392,-0.059951447521492666,-0.04823765760260915,-0.04165239941795325,-0.05396998778040458,0.003897375147514313,0.011627749471266822,0.048078787434714686,0.061878809606574756,0.027750804807272843,0.012821831769003285,0.018912686233102858,0.059173934238581076,0.08284258334823424,0.03175500326491266,0.010693677693851673,0.015260760421016362,0.05372508988188835,0.07707242643494566,0.026440015814897924,-0.0037730256054586296,0.00021508801531232974,0.007743579916727831,0.011693095325948356,0.003763841556523442,-0.00907286164872979,-0.005158639670493688,-0.0009153572592307189,-4.660296605834967e-05,-0.002318320673429579,-0.017502169943472003,-0.015646647022240397,-0.011192142117288929,-0.00969382476239609,-0.013330645414344405,-0.04295494474922731,-0.03957811228793722,-0.031711841639804395,-0.027062272159371816,-0.03564624956217832,0.0,0.0,0.0,0.0,0.0,-0.00248878039406105,-0.0015825988334693883,-0.00028237925625869956,-3.042070215161465e-05,-0.0007140750846746196,-7.851941144395731e-08,-6.962522352679399e-08,-4.718944993262928e-08,-3.96411228822788e-08,-5.7699637434683214e-08,0.0031291936800331476,0.005590801950782056,0.019851400858537326,0.032021861555023685,0.0107639011428245,-0.0062503579163926334,-0.005651432639206325,-0.004232138416351741,-0.00364067147765502,-0.004926206224001005,-0.019232125524770865,-0.011907899612661943,-0.003483130294196162,-0.0022563905741537996,-0.0064329292090553655,0.0002997012169398921,0.0014686061694526842,0.006375052802749995,0.008917348099996647,0.0035455649580153036,0.0031185906254023277,0.00923220537473616,0.042594435051366626,0.054884084528467304,0.02388129644413676,-0.03817691711341279,-0.03310180304734485,0.0026392703940033356,0.02505098672330187,-0.02111015969706089,-0.028327343515371382,-0.014108873530911734,0.04190828914503834,0.06638534204877641,0.01120235327813234,-0.057984187737679244,0.004740569602156216,0.15652602491613596,0.2030972849706222,0.08486046931681449
1852,-0.06373001997564567,-0.058586396714394334,-0.047138825287351194,-0.04070521346190467,-0.052739963767462844,0.005387812320951107,0.015793091500923284,0.054641610276764306,0.0696472382238665,0.03351112483007905,0.012693643934313997,0.018752757111176376,0.059187803016690174,0.08310244058097407,0.03163410766868506,0.010678602069541885,0.015271742612967725,0.05414665576867891,0.0776170735428352,0.02661602505955432,-0.0035726215523808336,0.00031041130794633187,0.007883966927833304,0.011891508449017709,0.0038778934790815647,-0.009024466801335038,-0.005132021954374777,-0.0009115076653486278,-4.641031147709073e-05,-0.0023068442236577106,-0.017208527342696896,-0.01538552579395221,-0.01100642260045931,-0.009533205700871362,-0.013109033475021438,-0.04183377822281116,-0.03854479883943716,-0.03088452714426383,-0.02635639163540162,-0.03471578615665223,0.0,0.0,0.0,0.0,0.0,-0.0024481134571061585,-0.001556858312206367,-0.00027783456251441306,-2.9925748434207234e-05,-0.0007024892566817375,-7.754268437039699e-08,-6.874347768246753e-08,-4.653182325752485e-08,-3.906919658847451e-08,-5.693547056694754e-08,0.003025577195826835,0.005406876543748706,0.019202341851462315,0.030982176315713886,0.010410998561522396,-0.006152675123961052,-0.005563257149718199,-0.00416695112138425,-0.0035848110555007995,-0.004849801115552943,-0.019267904296655997,-0.011931766194683903,-0.0034914507596903207,-0.00226241179264155,-0.006446871085427493,0.0002338696044321162,0.001237969939345826,0.005593253202258213,0.007928582158464313,0.0030571617630785405,0.004773026719562376,0.01394253564848278,0.04973553276891999,0.06345464984614418,0.030034205039581024,-0.037089410860679295,-0.03205931754303949,0.003939816375783365,0.026517346047858697,-0.019982272074400693,-0.025189384107361264,-0.009027751045176571,0.050081174338843806,0.07544358440058409,0.018009190233485635,-0.005837071209883398,0.04577713593629701,0.18851811274019445,0.23943450467913072,0.11787778220438086
1853,-0.0621052878363886,-0.057090166593132916,-0.04593385528203944,-0.03966692470977554,-0.05139123588603978,0.004935661999089963,0.01440154001054275,0.04947073855109799,0.0634801814685777,0.030158457190979888,0.012511967127339523,0.018483691888349616,0.058401006145757384,0.08220350210370356,0.03123304913215516,0.010595391473807593,0.015168513249986467,0.05372692579815911,0.07705642761588206,0.02649230022884729,-0.0033789297528622184,0.0003924128371031367,0.007942408622717686,0.01195996599699813,0.003937782025076213,-0.008886558283246747,-0.005053959338782731,-0.0008978475507656288,-4.572173786129786e-05,-0.0022718309188149506,-0.016870493309795453,-0.015083960713854745,-0.010791145837499194,-0.009346797002371789,-0.012852478155251593,-0.04063349037744267,-0.0374383279408489,-0.029998554782143815,-0.025600115178508916,-0.03371921412577433,0.0,0.0,0.0,0.0,0.0,-0.0024012323455471487,-0.0015270902342288072,-0.0002725461106917481,-2.935105725558916e-05,-0.0006890708068773402,-7.637191736689406e-08,-6.769243426550795e-08,-4.576503433709229e-08,-3.841191125034471e-08,-5.603506242357274e-08,0.0029158444171050644,0.0052118353069296654,0.01851386774730723,0.029877594700057793,0.010036703182717264,-0.006032658315075143,-0.00545499149765728,-0.004086883588339715,-0.0035163200649464205,-0.004755968778416132,-0.019162135417188524,-0.011867289838138022,-0.003472948557162361,-0.002250584591007243,-0.006412243371603286,8.298919385546818e-05,0.0007872845693565902,0.0042486520989401385,0.006236714574650209,0.0021758411877173273,0.004503758321222761,0.013102711508683914,0.04578277153962913,0.05872532771629452,0.027643817071392997,-0.03594958094353471,-0.031007722946770015,0.004572938299799584,0.02697647039133205,-0.01903656506517298,-0.024790684602607145,-0.009795086236089878,0.04605672547998883,0.07092594284507914,0.015353745258889525,-0.04895567648851616,0.011380812167260381,0.1425891093934585,0.19438013117897632,0.08048917106148709
1854,-0.060407153682760804,-0.05552736830591758,-0.04467717144191954,-0.03858278655916879,-0.04998380453992064,0.001108137158880168,0.0038911399679632027,0.027942540216995937,0.037813459558122764,0.013432785260341893,0.012179054743882915,0.01789185397379664,0.05508062609255067,0.07720642656784103,0.02995592865409681,0.010275514348247155,0.014680202051873628,0.05056666014331075,0.07236719033780159,0.025385633248224754,-0.0031839334894550393,0.0004377330413324584,0.007712324517667046,0.011572806150863675,0.003844251058905055,-0.00842537784291887,-0.004791000885706519,-0.0008503782179902904,-4.330646690739285e-05,-0.0021532167630095187,-0.01648147006903003,-0.014736369599473696,-0.01054272774346573,-0.00913176235602749,-0.01255654136748843,-0.03942781024926294,-0.03632772302134416,-0.029111418630400523,-0.024842538757768963,-0.03272049102430979,0.0,0.0,0.0,0.0,0.0,-0.0023471957573620856,-0.0014927408649910085,-0.0002664245313716068,-2.869128854672348e-05,-0.0006735772294618138,-7.507917242592531e-08,-6.653287989838727e-08,-4.492650081629441e-08,-3.7696698478170665e-08,-5.504599581304622e-08,0.0028019325133212575,0.005009063978357305,0.017797659197688536,0.028726924080242713,0.009647323640179641,-0.005891503005475564,-0.005327525906849391,-0.003992486870876482,-0.0034355670289984925,-0.004645381620086572,-0.018608094431902575,-0.011522924849931726,-0.003371507973963011,-0.002184459748287857,-0.00622575980240634,-0.0008357508364051939,-0.000164268298559979,0.0019907957958617624,0.00339442864431445,0.000586993667345208,0.0011270668922466129,0.0037000223619441533,0.026447124214147365,0.035694297006445413,0.012618667514689182,-0.03494945103335094,-0.030218624257406346,0.0027344776860598087,0.02344743353580113,-0.01896827452255973,-0.02964796789955399,-0.02041080619120759,0.0236357068895828,0.045538776594467915,-0.0018321335567222457,-0.03811670545685039,0.003380369839953905,0.12378436735058043,0.1638043653579611,0.06495556825524196
1855,-0.05869054024892458,-0.053949476919372,-0.0434106897915048,-0.03748885193155707,-0.048564999995189054,-0.0038524992389922766,-0.0004980983491193993,0.019943026087335974,0.028256801514842587,0.008504389626157759,0.011867074084281427,0.01730589362403743,0.05164114056105245,0.07203238397308002,0.028666586815926615,0.0099208815147527,0.01414580655501976,0.0471875100468869,0.06738001301035297,0.024205066264397886,-0.0029503167831708096,0.0005088807720281449,0.007492801430104269,0.011191969099514094,0.003762708962736053,-0.007910410275571884,-0.004497757734291656,-0.0007976161325254045,-4.062488451425129e-05,-0.002020973805035654,-0.01604642128871952,-0.014347357571405941,-0.010264644731481063,-0.008890985234410464,-0.012225163140315739,-0.0382636935897561,-0.03525674474398526,-0.0282581621366139,-0.02411326156245172,-0.03175930743773414,0.0,0.0,0.0,0.0,0.0,-0.0022866541882774097,-0.0014542615891396955,-0.0002595575785814288,-2.7952450973125565e-05,-0.0006562135986010615,-7.369956095051795e-08,-6.529493838924002e-08,-4.403443364819038e-08,-3.6937566420589436e-08,-5.3992046071813153e-08,0.002684683611323211,0.004800280398453003,0.017059603253420586,0.02754088836473258,0.009246191481137681,-0.005733561351255753,-0.005184841092494239,-0.003886526556088419,-0.0033448818859213325,-0.004521402881739625,-0.017939522113909565,-0.011107916953164884,-0.003249516226314203,-0.002105118915649951,-0.006001062444748816,-0.004244407244007122,-0.0026953193504345003,-0.00011378152226902223,0.0005754934546952556,-0.0011518023558169791,-0.0018014573096188872,0.0009134772867455388,0.02135142645868314,0.02954655387437022,0.009664072040880075,-0.03393027939526384,-0.02942333549783265,0.0008023404011220501,0.019814257164200065,-0.018895518951574392,-0.03195917273493506,-0.024189280746031553,0.014418416773837504,0.034170027758193736,-0.008049858599675816,-0.012935816220746006,0.020852645301393996,0.1272889346388154,0.1909684840695207,0.06974361963879232
1856,-0.0569511128340339,-0.052352277849024076,-0.04212959513682093,-0.036381743824778906,-0.047129800619023735,0.0012168617290933986,0.005369252211619341,0.03019682402306886,0.039849417875425126,0.016284145998395422,0.011573082420158087,0.016847289390587505,0.04988752857699968,0.06954963326341486,0.02785719180939706,0.009712856896683811,0.013851130276040124,0.04575058764484484,0.06522825229522983,0.02365640591513671,-0.0027545201857342716,0.0005738545888292618,0.007418334802514016,0.01105481559064372,0.003752615067442605,-0.007643371045843244,-0.0043460661984676815,-0.0007712059164649875,-3.927102079992759e-05,-0.001953175034506314,-0.0155768549193264,-0.013927453666897944,-0.009964425459124187,-0.008631103713886524,-0.011867430557638723,-0.0371239110181767,-0.034209076469043996,-0.027423698149669107,-0.023399842748170675,-0.030819436627324205,0.0,0.0,0.0,0.0,0.0,-0.002221290082728017,-0.0014126869890052594,-0.00025213763819159705,-2.7153781748536306e-05,-0.0006374488818971868,-7.225193151705308e-08,-6.399481761818627e-08,-4.309828674182784e-08,-3.61408824335821e-08,-5.2886726506326876e-08,0.0025647526651966512,0.004586617555669638,0.01630415183789921,0.026325625888447095,0.00883566026842001,-0.005561447733404308,-0.005029193130648562,-0.0037707040206044367,-0.003245620982427659,-0.004386063720673398,-0.017611702275218633,-0.010905970703072277,-0.0031911483237439158,-0.0020677039425901047,-0.005892578291877499,-0.008096272259733556,-0.005665298522424328,-0.001234755245241886,-0.00026766335636476226,-0.0031032762299722746,0.002806545456085184,0.00826492741113915,0.03452252369004248,0.04478828632809036,0.019922058797864232,-0.0328391274716813,-0.02847909347687565,0.0005521128025120937,0.018805007553562157,-0.01829035705718857,-0.026872088312712678,-0.01716198840283629,0.02428951412691401,0.043824570089616086,0.0009907620864009561,-0.07616235008011861,-0.029137642321636483,0.08262616893775633,0.11885706569657109,0.02568196854906202
1857,-0.05510243937458378,-0.050653049954541424,-0.040764844554984477,-0.03520264871997706,-0.04560127139623051,-0.019351191219294805,-0.011364836226939276,0.0035785172167237325,0.007986082398062136,-0.0016640866332921322,0.011287523168036186,0.016337422803867623,0.04730413016435961,0.06571757545822536,0.026815365928435704,0.009431432917592736,0.013435800169916294,0.04333422472078627,0.061656823893701966,0.022782423818059942,-0.0025562612817206275,0.0006390091191042476,0.0072675708323115635,0.010789012214325574,0.0037033519164227802,-0.0072532082671954885,-0.004124024157334131,-0.0007315675282925719,-3.725443229130735e-05,-0.0018532583925611758,-0.015081855688246232,-0.013484783032053136,-0.009647980290239295,-0.008357087174374831,-0.011490386368157158,-0.0359058416678565,-0.03308794776174898,-0.026527607415915762,-0.022634888627754486,-0.02981129271014743,0.0,0.0,0.0,0.0,0.0,-0.0021522813641336553,-0.001368813522663495,-0.000244305044248513,-2.6311096330514135e-05,-0.0006176408699023525,-7.074821919892474e-08,-6.264312019642468e-08,-4.212436527894905e-08,-3.5311550720167146e-08,-5.173775361000896e-08,0.00244262039937838,0.004368775469854371,0.015533716020897585,0.025085913643461855,0.00841710503245964,-0.005382322996665882,-0.0048671801982951915,-0.0036497646849123553,-0.003141802280410701,-0.004244968179088241,-0.01703383655131317,-0.010547757542187609,-0.00308603942414834,-0.0019994499889942705,-0.005698754310249639,-0.009521349091837493,-0.006807087298203471,-0.0016551098027201988,-0.0004752317377049349,-0.00386751633646275,-0.012737450537951745,-0.006747192412052511,0.007812595170468952,0.012789967315095931,0.0004406626825003803,-0.03167012978270038,-0.02749864914395652,-0.00042016809135994045,0.01658930756482455,-0.017848141049043868,-0.03964427429453234,-0.03203170657952354,-0.002437721347077343,0.01435857678519083,-0.020293932014837184,-0.20038241623254788,-0.15340229874389397,-0.027123414315160486,0.019501571218120545,-0.08884004117670376
